Device : cuda
Training samples 50000
Batch : 0 / 196 | Time 13980 ms | Train Loss : 5.5452 | Grad Norm : 0.0599
Batch : 1 / 196 | Time 804 ms | Train Loss : 5.9353 | Grad Norm : 15.4049
Batch : 2 / 196 | Time 843 ms | Train Loss : 5.5592 | Grad Norm : 0.4326
Batch : 3 / 196 | Time 764 ms | Train Loss : 5.5489 | Grad Norm : 0.1331
Batch : 4 / 196 | Time 800 ms | Train Loss : 5.5455 | Grad Norm : 0.0177
Batch : 5 / 196 | Time 814 ms | Train Loss : 5.5455 | Grad Norm : 0.0254
Batch : 6 / 196 | Time 799 ms | Train Loss : 5.5456 | Grad Norm : 0.0226
Batch : 7 / 196 | Time 777 ms | Train Loss : 5.5456 | Grad Norm : 0.0203
Batch : 8 / 196 | Time 775 ms | Train Loss : 5.5456 | Grad Norm : 0.0168
Batch : 9 / 196 | Time 767 ms | Train Loss : 5.5456 | Grad Norm : 0.0151
Batch : 10 / 196 | Time 760 ms | Train Loss : 5.5456 | Grad Norm : 0.0140
Batch : 11 / 196 | Time 691 ms | Train Loss : 5.5454 | Grad Norm : 0.0099
Batch : 12 / 196 | Time 695 ms | Train Loss : 5.5454 | Grad Norm : 0.0099
Batch : 13 / 196 | Time 694 ms | Train Loss : 5.5453 | Grad Norm : 0.0065
Batch : 14 / 196 | Time 693 ms | Train Loss : 5.5453 | Grad Norm : 0.0055
Batch : 15 / 196 | Time 694 ms | Train Loss : 5.5453 | Grad Norm : 0.0050
Batch : 16 / 196 | Time 695 ms | Train Loss : 5.5452 | Grad Norm : 0.0035
Batch : 17 / 196 | Time 693 ms | Train Loss : 5.5452 | Grad Norm : 0.0029
Batch : 18 / 196 | Time 700 ms | Train Loss : 5.5452 | Grad Norm : 0.0024
Batch : 19 / 196 | Time 696 ms | Train Loss : 5.5452 | Grad Norm : 0.0018
Batch : 20 / 196 | Time 697 ms | Train Loss : 5.5452 | Grad Norm : 0.0019
Batch : 21 / 196 | Time 695 ms | Train Loss : 5.5452 | Grad Norm : 0.0014
Batch : 22 / 196 | Time 696 ms | Train Loss : 5.5452 | Grad Norm : 0.0012
Batch : 23 / 196 | Time 697 ms | Train Loss : 5.5451 | Grad Norm : 0.0018
Batch : 24 / 196 | Time 698 ms | Train Loss : 5.5452 | Grad Norm : 0.0018
Batch : 25 / 196 | Time 698 ms | Train Loss : 5.5452 | Grad Norm : 0.0022
Batch : 26 / 196 | Time 704 ms | Train Loss : 5.5452 | Grad Norm : 0.0018
Batch : 27 / 196 | Time 699 ms | Train Loss : 5.5452 | Grad Norm : 0.0017
Batch : 28 / 196 | Time 699 ms | Train Loss : 5.5451 | Grad Norm : 0.0025
Batch : 29 / 196 | Time 699 ms | Train Loss : 5.5451 | Grad Norm : 0.0028
Batch : 30 / 196 | Time 697 ms | Train Loss : 5.5451 | Grad Norm : 0.0023
Batch : 31 / 196 | Time 699 ms | Train Loss : 5.5452 | Grad Norm : 0.0024
Batch : 32 / 196 | Time 699 ms | Train Loss : 5.5451 | Grad Norm : 0.0033
Batch : 33 / 196 | Time 698 ms | Train Loss : 5.5450 | Grad Norm : 0.0037
Batch : 34 / 196 | Time 695 ms | Train Loss : 5.5451 | Grad Norm : 0.0031
Batch : 35 / 196 | Time 696 ms | Train Loss : 5.5450 | Grad Norm : 0.0036
Batch : 36 / 196 | Time 700 ms | Train Loss : 5.5450 | Grad Norm : 0.0041
Batch : 37 / 196 | Time 698 ms | Train Loss : 5.5450 | Grad Norm : 0.0034
Batch : 38 / 196 | Time 699 ms | Train Loss : 5.5450 | Grad Norm : 0.0033
Batch : 39 / 196 | Time 701 ms | Train Loss : 5.5449 | Grad Norm : 0.0044
Batch : 40 / 196 | Time 697 ms | Train Loss : 5.5449 | Grad Norm : 0.0046
Batch : 41 / 196 | Time 700 ms | Train Loss : 5.5447 | Grad Norm : 0.0066
Batch : 42 / 196 | Time 702 ms | Train Loss : 5.5447 | Grad Norm : 0.0054
Batch : 43 / 196 | Time 708 ms | Train Loss : 5.5450 | Grad Norm : 0.0027
Batch : 44 / 196 | Time 696 ms | Train Loss : 5.5446 | Grad Norm : 0.0060
Batch : 45 / 196 | Time 696 ms | Train Loss : 5.5445 | Grad Norm : 0.0075
Batch : 46 / 196 | Time 697 ms | Train Loss : 5.5447 | Grad Norm : 0.0059
Batch : 47 / 196 | Time 699 ms | Train Loss : 5.5445 | Grad Norm : 0.0066
Batch : 48 / 196 | Time 858 ms | Train Loss : 5.5443 | Grad Norm : 0.0086
Batch : 49 / 196 | Time 702 ms | Train Loss : 5.5442 | Grad Norm : 0.0086
Batch : 50 / 196 | Time 703 ms | Train Loss : 5.5435 | Grad Norm : 0.0150
Batch : 51 / 196 | Time 697 ms | Train Loss : 5.5436 | Grad Norm : 0.0134
Batch : 52 / 196 | Time 698 ms | Train Loss : 5.5433 | Grad Norm : 0.0170
Batch : 53 / 196 | Time 699 ms | Train Loss : 5.5439 | Grad Norm : 0.0119
Batch : 54 / 196 | Time 703 ms | Train Loss : 5.5418 | Grad Norm : 0.0281
Batch : 55 / 196 | Time 700 ms | Train Loss : 5.5412 | Grad Norm : 0.0343
