Training samples 50000
Device : cuda
Total number of trainable parameters : 24742081
image_size : 224
patch_size : 16
vision_width : 192
vision_layers : 12
vision_heads : 3
vision_layer_norm_eps : 1e-06
vocab_size : 49408
text_width : 256
text_layers : 8
text_heads : 4
max_length : 77
text_layer_norm_eps : 1e-06
shared_dim : 512
batch_size : 256
learning_rate : 0.0001
epochs : 10
loss_type : contrastive
Optimizer : AdamW
Batch : 0 / 196 | Time 4483 ms | Train Loss : 5.5464 | Grad Norm : 0.2511 | Learning rate : 5.10e-07
Batch : 1 / 196 | Time 270 ms | Train Loss : 5.5465 | Grad Norm : 0.2324 | Learning rate : 1.02e-06
Batch : 2 / 196 | Time 267 ms | Train Loss : 5.5465 | Grad Norm : 0.2436 | Learning rate : 1.53e-06
Batch : 3 / 196 | Time 270 ms | Train Loss : 5.5458 | Grad Norm : 0.1811 | Learning rate : 2.04e-06
Batch : 4 / 196 | Time 270 ms | Train Loss : 5.5453 | Grad Norm : 0.1343 | Learning rate : 2.55e-06
Batch : 5 / 196 | Time 264 ms | Train Loss : 5.5451 | Grad Norm : 0.0961 | Learning rate : 3.06e-06
Batch : 6 / 196 | Time 264 ms | Train Loss : 5.5452 | Grad Norm : 0.0772 | Learning rate : 3.57e-06
Batch : 7 / 196 | Time 263 ms | Train Loss : 5.5448 | Grad Norm : 0.1119 | Learning rate : 4.08e-06
Batch : 8 / 196 | Time 266 ms | Train Loss : 5.5448 | Grad Norm : 0.1011 | Learning rate : 4.59e-06
Batch : 9 / 196 | Time 259 ms | Train Loss : 5.5448 | Grad Norm : 0.1078 | Learning rate : 5.10e-06
Batch : 10 / 196 | Time 260 ms | Train Loss : 5.5447 | Grad Norm : 0.1558 | Learning rate : 5.61e-06
Batch : 11 / 196 | Time 270 ms | Train Loss : 5.5447 | Grad Norm : 0.1051 | Learning rate : 6.12e-06
Batch : 12 / 196 | Time 269 ms | Train Loss : 5.5450 | Grad Norm : 0.1553 | Learning rate : 6.63e-06
Batch : 13 / 196 | Time 269 ms | Train Loss : 5.5436 | Grad Norm : 0.0967 | Learning rate : 7.14e-06
Batch : 14 / 196 | Time 263 ms | Train Loss : 5.5441 | Grad Norm : 0.0788 | Learning rate : 7.65e-06
Batch : 15 / 196 | Time 265 ms | Train Loss : 5.5430 | Grad Norm : 0.0988 | Learning rate : 8.16e-06
Batch : 16 / 196 | Time 271 ms | Train Loss : 5.5426 | Grad Norm : 0.0895 | Learning rate : 8.67e-06
Batch : 17 / 196 | Time 270 ms | Train Loss : 5.5427 | Grad Norm : 0.0719 | Learning rate : 9.18e-06
Batch : 18 / 196 | Time 267 ms | Train Loss : 5.5417 | Grad Norm : 0.0919 | Learning rate : 9.69e-06
Batch : 19 / 196 | Time 271 ms | Train Loss : 5.5412 | Grad Norm : 0.1254 | Learning rate : 1.02e-05
Batch : 20 / 196 | Time 264 ms | Train Loss : 5.5396 | Grad Norm : 0.1369 | Learning rate : 1.07e-05
Batch : 21 / 196 | Time 265 ms | Train Loss : 5.5399 | Grad Norm : 0.1367 | Learning rate : 1.12e-05
Batch : 22 / 196 | Time 263 ms | Train Loss : 5.5378 | Grad Norm : 0.1768 | Learning rate : 1.17e-05
Batch : 23 / 196 | Time 266 ms | Train Loss : 5.5363 | Grad Norm : 0.2034 | Learning rate : 1.22e-05
Batch : 24 / 196 | Time 265 ms | Train Loss : 5.5315 | Grad Norm : 0.2985 | Learning rate : 1.28e-05
Batch : 25 / 196 | Time 273 ms | Train Loss : 5.5296 | Grad Norm : 0.3211 | Learning rate : 1.33e-05
Batch : 26 / 196 | Time 272 ms | Train Loss : 5.5166 | Grad Norm : 0.5775 | Learning rate : 1.38e-05
Batch : 27 / 196 | Time 267 ms | Train Loss : 5.5123 | Grad Norm : 2.0063 | Learning rate : 1.43e-05
Batch : 28 / 196 | Time 264 ms | Train Loss : 5.5248 | Grad Norm : 7.3430 | Learning rate : 1.48e-05
Batch : 29 / 196 | Time 266 ms | Train Loss : 5.4921 | Grad Norm : 5.7835 | Learning rate : 1.53e-05
Batch : 30 / 196 | Time 267 ms | Train Loss : 5.5242 | Grad Norm : 18.6189 | Learning rate : 1.58e-05
Batch : 31 / 196 | Time 267 ms | Train Loss : 5.5397 | Grad Norm : 22.7185 | Learning rate : 1.63e-05
Batch : 32 / 196 | Time 265 ms | Train Loss : 5.4797 | Grad Norm : 6.4690 | Learning rate : 1.68e-05
Batch : 33 / 196 | Time 267 ms | Train Loss : 5.5703 | Grad Norm : 30.6836 | Learning rate : 1.73e-05
Batch : 34 / 196 | Time 272 ms | Train Loss : 5.6814 | Grad Norm : 39.0824 | Learning rate : 1.79e-05
Batch : 35 / 196 | Time 268 ms | Train Loss : 5.5968 | Grad Norm : 30.5530 | Learning rate : 1.84e-05
Batch : 36 / 196 | Time 268 ms | Train Loss : 5.4672 | Grad Norm : 5.9864 | Learning rate : 1.89e-05
Batch : 37 / 196 | Time 259 ms | Train Loss : 5.6333 | Grad Norm : 41.8698 | Learning rate : 1.94e-05
Batch : 38 / 196 | Time 265 ms | Train Loss : 5.8156 | Grad Norm : 50.1300 | Learning rate : 1.99e-05
Batch : 39 / 196 | Time 264 ms | Train Loss : 5.7691 | Grad Norm : 44.9392 | Learning rate : 2.04e-05
Batch : 40 / 196 | Time 263 ms | Train Loss : 5.5476 | Grad Norm : 24.1756 | Learning rate : 2.09e-05
Batch : 41 / 196 | Time 263 ms | Train Loss : 5.4377 | Grad Norm : 2.9986 | Learning rate : 2.14e-05
Batch : 42 / 196 | Time 281 ms | Train Loss : 5.4796 | Grad Norm : 15.2576 | Learning rate : 2.19e-05
Batch : 43 / 196 | Time 266 ms | Train Loss : 5.4689 | Grad Norm : 14.8606 | Learning rate : 2.24e-05
Batch : 44 / 196 | Time 264 ms | Train Loss : 5.4364 | Grad Norm : 4.6096 | Learning rate : 2.30e-05
Batch : 45 / 196 | Time 265 ms | Train Loss : 5.5247 | Grad Norm : 22.3035 | Learning rate : 2.35e-05
Batch : 46 / 196 | Time 270 ms | Train Loss : 5.6188 | Grad Norm : 36.1196 | Learning rate : 2.40e-05
Batch : 47 / 196 | Time 266 ms | Train Loss : 5.5330 | Grad Norm : 26.2868 | Learning rate : 2.45e-05
Batch : 48 / 196 | Time 269 ms | Train Loss : 5.4011 | Grad Norm : 5.7948 | Learning rate : 2.50e-05
Batch : 49 / 196 | Time 266 ms | Train Loss : 5.5596 | Grad Norm : 32.4720 | Learning rate : 2.55e-05
Batch : 50 / 196 | Time 267 ms | Train Loss : 5.6413 | Grad Norm : 36.2405 | Learning rate : 2.60e-05
Batch : 51 / 196 | Time 264 ms | Train Loss : 5.5440 | Grad Norm : 27.0172 | Learning rate : 2.65e-05
Batch : 52 / 196 | Time 266 ms | Train Loss : 5.4841 | Grad Norm : 8.6712 | Learning rate : 2.70e-05
Batch : 53 / 196 | Time 264 ms | Train Loss : 5.4887 | Grad Norm : 16.9504 | Learning rate : 2.76e-05
Batch : 54 / 196 | Time 272 ms | Train Loss : 5.5286 | Grad Norm : 21.6106 | Learning rate : 2.81e-05
Batch : 55 / 196 | Time 264 ms | Train Loss : 5.4479 | Grad Norm : 19.7735 | Learning rate : 2.86e-05
Batch : 56 / 196 | Time 269 ms | Train Loss : 5.4295 | Grad Norm : 2.2929 | Learning rate : 2.91e-05
Batch : 57 / 196 | Time 270 ms | Train Loss : 5.4693 | Grad Norm : 17.1320 | Learning rate : 2.96e-05
Batch : 58 / 196 | Time 266 ms | Train Loss : 5.5345 | Grad Norm : 23.1575 | Learning rate : 3.01e-05
Batch : 59 / 196 | Time 271 ms | Train Loss : 5.4854 | Grad Norm : 8.5903 | Learning rate : 3.06e-05
Batch : 60 / 196 | Time 263 ms | Train Loss : 5.4869 | Grad Norm : 11.3955 | Learning rate : 3.11e-05
Batch : 61 / 196 | Time 267 ms | Train Loss : 5.4556 | Grad Norm : 13.8629 | Learning rate : 3.16e-05
Batch : 62 / 196 | Time 264 ms | Train Loss : 5.4306 | Grad Norm : 6.3013 | Learning rate : 3.21e-05
Batch : 63 / 196 | Time 266 ms | Train Loss : 5.4165 | Grad Norm : 5.8917 | Learning rate : 3.27e-05
Batch : 64 / 196 | Time 265 ms | Train Loss : 5.4614 | Grad Norm : 6.9405 | Learning rate : 3.32e-05
Batch : 65 / 196 | Time 270 ms | Train Loss : 5.4056 | Grad Norm : 4.5356 | Learning rate : 3.37e-05
Batch : 66 / 196 | Time 266 ms | Train Loss : 5.4219 | Grad Norm : 6.2815 | Learning rate : 3.42e-05
Batch : 67 / 196 | Time 265 ms | Train Loss : 5.4184 | Grad Norm : 7.4322 | Learning rate : 3.47e-05
Batch : 68 / 196 | Time 264 ms | Train Loss : 5.3621 | Grad Norm : 2.9787 | Learning rate : 3.52e-05
Batch : 69 / 196 | Time 268 ms | Train Loss : 5.3273 | Grad Norm : 4.3645 | Learning rate : 3.57e-05
Batch : 70 / 196 | Time 265 ms | Train Loss : 5.3367 | Grad Norm : 3.9078 | Learning rate : 3.62e-05
Batch : 71 / 196 | Time 266 ms | Train Loss : 5.4139 | Grad Norm : 3.9974 | Learning rate : 3.67e-05
Batch : 72 / 196 | Time 267 ms | Train Loss : 5.3033 | Grad Norm : 4.2132 | Learning rate : 3.72e-05
Batch : 73 / 196 | Time 266 ms | Train Loss : 5.4546 | Grad Norm : 17.1724 | Learning rate : 3.78e-05
Batch : 74 / 196 | Time 263 ms | Train Loss : 5.3711 | Grad Norm : 13.7709 | Learning rate : 3.83e-05
Batch : 75 / 196 | Time 265 ms | Train Loss : 5.3483 | Grad Norm : 6.7708 | Learning rate : 3.88e-05
Batch : 76 / 196 | Time 263 ms | Train Loss : 5.3363 | Grad Norm : 5.2047 | Learning rate : 3.93e-05
Batch : 77 / 196 | Time 264 ms | Train Loss : 5.3731 | Grad Norm : 6.0537 | Learning rate : 3.98e-05
Batch : 78 / 196 | Time 265 ms | Train Loss : 5.3893 | Grad Norm : 2.5590 | Learning rate : 4.03e-05
Batch : 79 / 196 | Time 270 ms | Train Loss : 5.3520 | Grad Norm : 7.9101 | Learning rate : 4.08e-05
Batch : 80 / 196 | Time 264 ms | Train Loss : 5.3505 | Grad Norm : 8.0129 | Learning rate : 4.13e-05
Batch : 81 / 196 | Time 265 ms | Train Loss : 5.3400 | Grad Norm : 6.7645 | Learning rate : 4.18e-05
Batch : 82 / 196 | Time 265 ms | Train Loss : 5.3416 | Grad Norm : 4.5886 | Learning rate : 4.23e-05
Batch : 83 / 196 | Time 266 ms | Train Loss : 5.3633 | Grad Norm : 6.9729 | Learning rate : 4.29e-05
Batch : 84 / 196 | Time 273 ms | Train Loss : 5.2772 | Grad Norm : 4.8348 | Learning rate : 4.34e-05
Batch : 85 / 196 | Time 265 ms | Train Loss : 5.2484 | Grad Norm : 8.6428 | Learning rate : 4.39e-05
Batch : 86 / 196 | Time 269 ms | Train Loss : 5.2767 | Grad Norm : 9.5353 | Learning rate : 4.44e-05
Batch : 87 / 196 | Time 263 ms | Train Loss : 5.2831 | Grad Norm : 8.2010 | Learning rate : 4.49e-05
Batch : 88 / 196 | Time 264 ms | Train Loss : 5.3936 | Grad Norm : 11.5669 | Learning rate : 4.54e-05
Batch : 89 / 196 | Time 269 ms | Train Loss : 5.3139 | Grad Norm : 5.8667 | Learning rate : 4.59e-05
Batch : 90 / 196 | Time 257 ms | Train Loss : 5.3054 | Grad Norm : 4.4349 | Learning rate : 4.64e-05
Batch : 91 / 196 | Time 269 ms | Train Loss : 5.3411 | Grad Norm : 11.4540 | Learning rate : 4.69e-05
Batch : 92 / 196 | Time 269 ms | Train Loss : 5.3278 | Grad Norm : 12.1960 | Learning rate : 4.74e-05
Batch : 93 / 196 | Time 264 ms | Train Loss : 5.3258 | Grad Norm : 3.2963 | Learning rate : 4.80e-05
Batch : 94 / 196 | Time 263 ms | Train Loss : 5.2437 | Grad Norm : 12.8063 | Learning rate : 4.85e-05
Batch : 95 / 196 | Time 268 ms | Train Loss : 5.3493 | Grad Norm : 11.8001 | Learning rate : 4.90e-05
Batch : 96 / 196 | Time 265 ms | Train Loss : 5.2960 | Grad Norm : 7.2859 | Learning rate : 4.95e-05
Batch : 97 / 196 | Time 265 ms | Train Loss : 5.2178 | Grad Norm : 5.9998 | Learning rate : 5.00e-05
Batch : 98 / 196 | Time 262 ms | Train Loss : 5.3130 | Grad Norm : 7.6836 | Learning rate : 5.05e-05
Batch : 99 / 196 | Time 263 ms | Train Loss : 5.2034 | Grad Norm : 7.3918 | Learning rate : 5.10e-05
Batch : 100 / 196 | Time 264 ms | Train Loss : 5.2996 | Grad Norm : 11.1520 | Learning rate : 5.15e-05
Batch : 101 / 196 | Time 264 ms | Train Loss : 5.2644 | Grad Norm : 6.7021 | Learning rate : 5.20e-05
Batch : 102 / 196 | Time 261 ms | Train Loss : 5.1893 | Grad Norm : 7.1470 | Learning rate : 5.26e-05
Batch : 103 / 196 | Time 266 ms | Train Loss : 5.2459 | Grad Norm : 5.1519 | Learning rate : 5.31e-05
Batch : 104 / 196 | Time 258 ms | Train Loss : 5.2530 | Grad Norm : 4.6026 | Learning rate : 5.36e-05
Batch : 105 / 196 | Time 264 ms | Train Loss : 5.2288 | Grad Norm : 8.8484 | Learning rate : 5.41e-05
Batch : 106 / 196 | Time 269 ms | Train Loss : 5.3122 | Grad Norm : 8.5396 | Learning rate : 5.46e-05
Batch : 107 / 196 | Time 268 ms | Train Loss : 5.2211 | Grad Norm : 5.7683 | Learning rate : 5.51e-05
Batch : 108 / 196 | Time 278 ms | Train Loss : 5.2822 | Grad Norm : 5.1928 | Learning rate : 5.56e-05
Batch : 109 / 196 | Time 267 ms | Train Loss : 5.2723 | Grad Norm : 4.3236 | Learning rate : 5.61e-05
Batch : 110 / 196 | Time 267 ms | Train Loss : 5.2412 | Grad Norm : 6.7911 | Learning rate : 5.66e-05
Batch : 111 / 196 | Time 265 ms | Train Loss : 5.3152 | Grad Norm : 8.1166 | Learning rate : 5.71e-05
Batch : 112 / 196 | Time 273 ms | Train Loss : 5.2957 | Grad Norm : 3.8881 | Learning rate : 5.77e-05
Batch : 113 / 196 | Time 267 ms | Train Loss : 5.2654 | Grad Norm : 3.1726 | Learning rate : 5.82e-05
Batch : 114 / 196 | Time 274 ms | Train Loss : 5.2294 | Grad Norm : 4.2087 | Learning rate : 5.87e-05
